Date,Client Name,Region,Product,Revenue,Raw Material Cost,Labor Cost,Overhead Cost,Operating Expenses,Depreciation,Amortization,Interest,Taxes,EBITDA,EBITDA Margin,Profit Margin
2024-01-01,"Weaver, Small and Tran",South,Soy,31317,11229.73,5859.28,3912.05,21001.07,2444.06,788.31,1393.28,1422.57,10315.93,32.94,13.63
2024-01-01,"Holmes, Huynh and Wilson",North,Potato,30899,10110.24,5125.65,4486.86,19722.75,1875.79,767.99,1358.68,1793.45,11176.25,36.17,17.41
2024-01-01,Mccoy and Sons,South,Soy,22512,8771.15,3386.0,2526.74,14683.89,1634.56,899.22,1172.1,1030.56,7828.11,34.77,13.73
2024-01-01,"Morgan, Carlson and Wright",South,Corn,12650,4451.93,1951.79,1303.15,7706.88,1004.32,488.8,392.77,764.31,4943.12,39.08,18.13
2024-01-01,Myers-Harmon,East,Soy,16602,6147.28,3997.22,2168.23,12312.74,1031.77,362.71,844.74,512.51,4289.26,25.84,9.26
2024-01-01,Smith Group,East,Soy,28263,9695.56,6461.27,3913.45,20070.28,2238.68,819.3,1417.13,929.4,8192.72,28.99,9.87
2024-01-01,Davis LLC,South,Corn,13924,4494.78,3128.64,1779.56,9402.98,763.68,402.71,752.66,650.49,4521.02,32.47,14.02
2024-01-01,Richards-Velez,East,Soy,31926,9921.89,5562.86,4427.42,19912.17,1849.2,1012.17,1417.61,1933.71,12013.83,37.63,18.17
2024-01-01,"Coleman, Davis and Cook",North,Soy,15541,5578.03,3726.28,1646.83,10951.14,950.57,385.81,879.38,593.53,4589.86,29.53,11.46
2024-01-01,Barnes-Spencer,North,Potato,20649,6202.5,3701.89,2383.53,12287.93,1597.19,623.66,669.54,1367.67,8361.07,40.49,19.87
2024-01-01,Bartlett PLC,North,Wheat,18202,6221.04,3995.19,2372.96,12589.19,1083.95,522.18,1059.32,736.84,5612.81,30.84,12.14
2024-01-01,Kidd and Sons,North,Soy,15152,5780.41,3255.42,2140.68,11176.5,1163.77,352.5,816.19,410.76,3975.5,26.24,8.13
2024-01-01,Campbell PLC,East,Soy,5955,2002.03,909.41,803.87,3715.3,332.13,147.52,333.93,356.53,2239.7,37.61,17.96
2024-01-01,Lopez Inc,West,Corn,42819,12922.64,7052.52,5098.05,25073.21,2319.9,1191.29,1695.0,3134.9,17745.79,41.44,21.96
2024-01-01,"Pearson, Miller and Knight",West,Corn,27342,9067.65,4782.47,3961.26,17811.39,2179.53,909.36,1109.0,1333.18,9530.61,34.86,14.63
